facility_id,x,y,activity_type,capacity,day,start_time,end_time
10000_17,685633.4437999995,4823306.505999999,home,4.0,wkday,00:00:00,30:00:00
10001_17,685673.6134000001,4823300.361199999,home,2.0,wkday,00:00:00,30:00:00
10002_17,685634.1630999995,4823286.0569,home,4.0,wkday,00:00:00,30:00:00
10003_17,685721.8114999998,4823279.2995,home,2.0,wkday,00:00:00,30:00:00
10004_17,685675.9330000002,4823278.3576,home,2.0,wkday,00:00:00,30:00:00
10005_17,685638.2869999995,4823265.8761,home,4.0,wkday,00:00:00,30:00:00
10006_17,685724.3443999998,4823258.2225,home,2.0,wkday,00:00:00,30:00:00
10007_17,685721.8937999997,4823238.4867,home,2.0,wkday,00:00:00,30:00:00
10008_17,685673.7779999999,4823233.7623,home,4.0,wkday,00:00:00,30:00:00
10009_17,685866.4852,4823208.6406,home,2.0,wkday,00:00:00,30:00:00
1000_12,679006.5877999999,4823165.8923,home,2.0,wkday,00:00:00,30:00:00
10010_17,685717.5321000004,4823217.684,home,2.0,wkday,00:00:00,30:00:00
10011_17,685847.5691999998,4823196.8418000005,home,2.0,wkday,00:00:00,30:00:00
10012_17,685711.3141999999,4823195.019099999,home,2.0,wkday,00:00:00,30:00:00
10013_17,685730.5592999998,4823178.6086,home,2.0,wkday,00:00:00,30:00:00
10014_17,685769.0708999997,4823162.6066,home,2.0,wkday,00:00:00,30:00:00
10015_17,685793.0861,4823122.406400001,home,2.0,wkday,00:00:00,30:00:00
10016_17,685926.0248999996,4823115.581900001,home,2.0,wkday,00:00:00,30:00:00
10017_17,685869.0942000002,4823101.454399999,home,2.0,wkday,00:00:00,30:00:00
10018_17,685917.966,4823094.312899999,home,2.0,wkday,00:00:00,30:00:00
10019_17,685950.7441999996,4823084.248400001,home,2.0,wkday,00:00:00,30:00:00
1001_12,678976.2357000001,4823114.463300001,home,2.0,wkday,00:00:00,30:00:00
10020_17,685863.3548999997,4823082.8189,home,2.0,wkday,00:00:00,30:00:00
10021_17,685834.6518000001,4823074.318,home,2.0,wkday,00:00:00,30:00:00
10022_17,685910.6660000002,4823073.1842,home,2.0,wkday,00:00:00,30:00:00
10023_17,685950.5766000003,4823060.7666,home,2.0,wkday,00:00:00,30:00:00
10024_17,686002.0878999997,4823052.043199999,home,2.0,wkday,00:00:00,30:00:00
10025_17,685902.0158000002,4823054.4999,home,2.0,wkday,00:00:00,30:00:00
10026_17,685950.9850000003,4823038.6777,home,2.0,wkday,00:00:00,30:00:00
10027_17,685888.7050999999,4823029.4879,home,2.0,wkday,00:00:00,30:00:00
10028_17,685903.5549999997,4823010.9866,home,2.0,wkday,00:00:00,30:00:00
10029_17,686029.3310000002,4823011.1329,home,2.0,wkday,00:00:00,30:00:00
1002_12,678983.8252999997,4823066.4024,home,2.0,wkday,00:00:00,30:00:00
10030_17,685953.0484999996,4823015.208000001,home,2.0,wkday,00:00:00,30:00:00
10031_17,685997.8054,4823010.794500001,home,2.0,wkday,00:00:00,30:00:00
10032_17,686065.9375,4822963.693700001,home,2.0,wkday,00:00:00,30:00:00
10033_17,685962.7016000003,4822959.725199999,home,2.0,wkday,00:00:00,30:00:00
10034_17,686045.6683,4822929.053099999,home,2.0,wkday,00:00:00,30:00:00
10035_17,686002.4811000004,4822919.598200001,home,2.0,wkday,00:00:00,30:00:00
10036_17,686106.3602,4822884.247400001,home,2.0,wkday,00:00:00,30:00:00
10037_17,686086.3438999997,4822883.208000001,home,2.0,wkday,00:00:00,30:00:00
10038_17,686039.2675000001,4822882.558800001,home,2.0,wkday,00:00:00,30:00:00
10039_18,686127.1688999999,4823776.2464000005,home,4.0,wkday,00:00:00,30:00:00
1003_12,679124.6552999998,4823133.492000001,home,2.0,wkday,00:00:00,30:00:00
10040_18,686180.8870000001,4823759.4001,home,2.0,wkday,00:00:00,30:00:00
10041_18,686123.8800999997,4823745.9553,home,4.0,wkday,00:00:00,30:00:00
10042_18,686222.6538000004,4823744.9068,home,2.0,wkday,00:00:00,30:00:00
10043_18,686062.7401999999,4823723.9518,home,2.0,wkday,00:00:00,30:00:00
10044_18,686047.4391999999,4823723.707900001,home,2.0,wkday,00:00:00,30:00:00
