id,x,y
1,679909.3904,4831236.176
10,683278.3441,4823798.837
10_261,683269.9621,4824159.264
10_271,682802.2456,4823768.662
10_272,682326.147,4823738.487
10_273,681850.0485,4823708.312
10_274,681373.9499,4823678.136
10_281,683294.6967,4823362.707
10_282,683311.0492,4822926.576
10_283,683327.4018,4822490.445
10_291,683686.2808,4823865.416
10_292,684094.2175,4823931.995
10_293,684502.1541,4823998.573
10_301,683686.2808,4823711.957
10_302,684094.2175,4823625.077
10_303,684502.1541,4823538.197
11,680897.8514,4823647.961
11_311,680883.6866,4824097.802
11_312,680869.5218,4824547.644
11_313,680855.3571,4824997.485
11_314,680841.1923,4825447.326
11_321,681373.9499,4823678.136
11_322,681850.0485,4823708.312
11_323,682326.147,4823738.487
11_324,682802.2456,4823768.662
11_331,680503.8966,4823639.579
11_332,680109.9418,4823631.197
11_333,679715.987,4823622.815
11_341,680906.0759,4823238.966
11_342,680914.3004,4822829.971
11_343,680922.525,4822420.976
12,679322.0322,4823614.433
12_351,679374.029,4824072.83
12_352,679426.0258,4824531.227
12_353,679478.0225,4824989.623
12_354,679530.0193,4825448.02
12_355,679582.0161,4825906.417
12_356,679634.0129,4826364.814
12_361,679715.987,4823622.815
12_362,680109.9418,4823631.197
12_363,680503.8966,4823639.579
12_371,679334.1343,4823146.63
12_372,679346.2363,4822678.827
12_373,679358.3383,4822211.024
12_374,679370.4404,4821743.22
12_375,679382.5424,4821275.417
12_376,679394.6444,4820807.614
13,679406.7465,4820339.811
13_381,679394.6444,4820807.614
13_382,679382.5424,4821275.417
13_383,679370.4404,4821743.22
13_384,679358.3383,4822211.024
13_385,679346.2363,4822678.827
13_386,679334.1343,4823146.63
13_391,679798.3306,4820355.686
13_392,680189.9147,4820371.561
13_393,680581.4988,4820387.436
14,680930.7495,4822011.981
14_401,680922.525,4822420.976
14_402,680914.3004,4822829.971
14_403,680906.0759,4823238.966
14_411,681413.3505,4822020.448
14_412,681895.9514,4822028.914
14_413,682378.5524,4822037.381
14_414,682861.1534,4822045.848
14_421,680941.3329,4821588.647
15,683343.7543,4822054.314
15_431,683327.4018,4822490.445
15_432,683311.0492,4822926.576
15_433,683294.6967,4823362.707
15_441,682861.1534,4822045.848
15_442,682378.5524,4822037.381
15_443,681895.9514,4822028.914
15_444,681413.3505,4822020.448
15_451,683751.2135,4822080.773
15_452,684158.6726,4822107.231
15_453,684566.1318,4822133.69
15_461,683354.3377,4821662.73
16,684910.0908,4824065.152
16_471,684891.9179,4824488.921
16_472,684873.745,4824912.691
16_473,684855.5721,4825336.46
16_481,684502.1541,4823998.573
16_482,684094.2175,4823931.995
16_483,683686.2808,4823865.416
16_491,684910.0908,4823758.235
16_501,685368.7028,4824079.263
16_502,685827.3149,4824093.374
17,684910.0908,4823451.317
17_511,684502.1541,4823538.197
17_512,684094.2175,4823625.077
17_513,683686.2808,4823711.957
17_521,684910.0908,4823758.235
17_531,684931.2575,4823020.927
17_532,684952.4242,4822590.538
18,686285.9269,4824107.485
18_541,686284.2217,4824575.154
18_542,686282.5165,4825042.823
18_543,686280.8113,4825510.493
18_551,685827.3149,4824093.374
18_552,685368.7028,4824079.263
18_561,686119.2391,4823665.63
18_562,685952.5512,4823223.775
18_563,685785.8634,4822781.92
18_564,685619.1756,4822340.065
18_565,685452.4877,4821898.21
18_566,685285.7999,4821456.355
18_567,685119.1121,4821014.5
19,684973.5909,4822160.148
19_571,684566.1318,4822133.69
19_572,684158.6726,4822107.231
19_573,683751.2135,4822080.773
19_581,684952.4242,4822590.538
19_582,684931.2575,4823020.927
19_591,684968.2993,4821763.272
19_592,684963.0076,4821366.396
19_593,684957.7159,4820969.521
1_11,680391.6569,4831174.433
1_12,680873.9235,4831112.69
1_13,681356.19,4831050.947
1_14,681838.4565,4830989.203
1_15,682320.7231,4830927.46
1_16,682802.9896,4830865.717
1_17,683285.2561,4830803.973
1_18,683767.5227,4830742.23
1_19,684249.7892,4830680.487
1_21,679884.5703,4830745.847
1_22,679859.7502,4830255.517
1_23,679834.9302,4829765.188
1_24,679810.1101,4829274.858
1_25,679785.29,4828784.529
1_26,679760.4699,4828294.199
1_27,679735.6498,4827803.87
1_28,679710.8297,4827313.54
2,684732.0557,4830618.744
20,684952.4242,4820572.645
20_601,685119.1121,4821014.5
20_602,685285.7999,4821456.355
20_603,685452.4877,4821898.21
20_604,685619.1756,4822340.065
20_605,685785.8634,4822781.92
20_606,685952.5512,4823223.775
20_607,686119.2391,4823665.63
20_611,684957.7159,4820969.521
20_612,684963.0076,4821366.396
20_613,684968.2993,4821763.272
20_621,684560.8401,4820546.186
20_622,684169.256,4820519.728
20_623,683777.6719,4820493.27
20_631,684555.5484,4820747.27
20_632,684158.6726,4820921.895
20_633,683761.7968,4821096.521
21,683386.0878,4820466.811
21_641,683777.6719,4820493.27
21_642,684169.256,4820519.728
21_643,684560.8401,4820546.186
21_651,683375.5044,4820868.979
21_661,682903.4868,4820454.111
21_662,682420.8858,4820441.411
21_663,681938.2849,4820428.711
21_664,681455.6839,4820416.011
22,683364.9211,4821271.146
22_671,683354.3377,4821662.73
22_681,683761.7968,4821096.521
22_682,684158.6726,4820921.895
22_683,684555.5484,4820747.27
22_691,683375.5044,4820868.979
22_701,682882.3201,4821249.979
22_702,682399.7191,4821228.813
22_703,681917.1182,4821207.646
22_704,681434.5172,4821186.479
23,680951.9162,4821165.313
23_711,680941.3329,4821588.647
23_721,681434.5172,4821186.479
23_722,681917.1182,4821207.646
23_723,682399.7191,4821228.813
23_724,682882.3201,4821249.979
23_731,680962.4996,4820784.312
24,680973.0829,4820403.311
24_741,680581.4988,4820387.436
24_742,680189.9147,4820371.561
24_743,679798.3306,4820355.686
24_751,681455.6839,4820416.011
24_752,681938.2849,4820428.711
24_753,682420.8858,4820441.411
24_754,682903.4868,4820454.111
24_761,680962.4996,4820784.312
2_31,684249.7892,4830680.487
2_32,683767.5227,4830742.23
2_33,683285.2561,4830803.973
2_34,682802.9896,4830865.717
2_35,682320.7231,4830927.46
2_36,681838.4565,4830989.203
2_37,681356.19,4831050.947
2_38,680873.9235,4831112.69
2_39,680391.6569,4831174.433
2_41,684749.4997,4830149.787
2_42,684766.9436,4829680.831
2_43,684784.3875,4829211.874
2_44,684801.8315,4828742.918
2_45,684819.2754,4828273.961
2_46,684836.7193,4827805.005
3,679686.0097,4826823.211
3_51,679710.8297,4827313.54
3_52,679735.6498,4827803.87
3_53,679760.4699,4828294.199
3_54,679785.29,4828784.529
3_55,679810.1101,4829274.858
3_56,679834.9302,4829765.188
3_57,679859.7502,4830255.517
3_58,679884.5703,4830745.847
3_61,680066.349,4826514.53
3_62,680446.6883,4826205.848
3_71,679634.0129,4826364.814
3_72,679582.0161,4825906.417
3_73,679530.0193,4825448.02
3_74,679478.0225,4824989.623
3_75,679426.0258,4824531.227
3_76,679374.029,4824072.83
4,680827.0276,4825897.167
4_101,680841.1923,4825447.326
4_102,680855.3571,4824997.485
4_103,680869.5218,4824547.644
4_104,680883.6866,4824097.802
4_81,680446.6883,4826205.848
4_82,680066.349,4826514.53
4_91,681307.2325,4825903.308
4_92,681787.4373,4825909.448
4_93,682267.6422,4825915.589
4_94,682747.8471,4825921.729
5,683228.052,4825927.87
5_111,682747.8471,4825921.729
5_112,682267.6422,4825915.589
5_113,681787.4373,4825909.448
5_114,681307.2325,4825903.308
5_121,683553.2743,4826209.505
5_122,683878.4965,4826491.141
5_123,684203.7188,4826772.777
5_124,684528.941,4827054.413
5_131,683239.2281,4825458.477
5_132,683250.4041,4824989.084
6,684854.1633,4827336.048
6_141,684836.7193,4827805.005
6_142,684819.2754,4828273.961
6_143,684801.8315,4828742.918
6_144,684784.3875,4829211.874
6_145,684766.9436,4829680.831
6_146,684749.4997,4830149.787
6_151,684528.941,4827054.413
6_152,684203.7188,4826772.777
6_153,683878.4965,4826491.141
6_154,683553.2743,4826209.505
6_161,684849.9723,4826942.094
6_162,684845.7813,4826548.139
6_163,684841.5903,4826154.184
7,686279.1061,4825978.162
7_171,685798.5372,4825905.518
7_172,685317.9682,4825832.873
7_181,686280.8113,4825510.493
7_182,686282.5165,4825042.823
7_183,686284.2217,4824575.154
8,684837.3992,4825760.229
8_191,684841.5903,4826154.184
8_192,684845.7813,4826548.139
8_193,684849.9723,4826942.094
8_201,685317.9682,4825832.873
8_202,685798.5372,4825905.518
8_211,684522.2354,4825512.122
8_212,684207.0716,4825264.014
8_213,683891.9078,4825015.906
8_214,683576.7439,4824767.798
8_221,684855.5721,4825336.46
8_222,684873.745,4824912.691
8_223,684891.9179,4824488.921
9,683261.5801,4824519.691
9_231,683250.4041,4824989.084
9_232,683239.2281,4825458.477
9_241,683576.7439,4824767.798
9_242,683891.9078,4825015.906
9_243,684207.0716,4825264.014
9_244,684522.2354,4825512.122
9_251,683269.9621,4824159.264
10000_17,685633.4438,4823306.506
10001_17,685673.6134,4823300.361
10002_17,685634.1631,4823286.057
10003_17,685721.8115,4823279.3
10004_17,685675.933,4823278.358
10005_17,685638.287,4823265.876
10006_17,685724.3444,4823258.223
10007_17,685721.8938,4823238.487
10008_17,685673.778,4823233.762
10009_17,685866.4852,4823208.641
1000_12,679006.5878,4823165.892
10010_17,685717.5321,4823217.684
10011_17,685847.5692,4823196.842
10012_17,685711.3142,4823195.019
10013_17,685730.5593,4823178.609
10014_17,685769.0709,4823162.607
10015_17,685793.0861,4823122.406
10016_17,685926.0249,4823115.582
10017_17,685869.0942,4823101.454
10018_17,685917.966,4823094.313
10019_17,685950.7442,4823084.248
1001_12,678976.2357,4823114.463
10020_17,685863.3549,4823082.819
10021_17,685834.6518,4823074.318
10022_17,685910.666,4823073.184
10023_17,685950.5766,4823060.767
10024_17,686002.0879,4823052.043
10025_17,685902.0158,4823054.5
10026_17,685950.985,4823038.678
10027_17,685888.7051,4823029.488
10028_17,685903.555,4823010.987
10029_17,686029.331,4823011.133
1002_12,678983.8253,4823066.402
10030_17,685953.0485,4823015.208
10031_17,685997.8054,4823010.795
10032_17,686065.9375,4822963.694
10033_17,685962.7016,4822959.725
10034_17,686045.6683,4822929.053
10035_17,686002.4811,4822919.598
10036_17,686106.3602,4822884.247
10037_17,686086.3439,4822883.208
10038_17,686039.2675,4822882.559
10039_18,686127.1689,4823776.246
1003_12,679124.6553,4823133.492
10040_18,686180.887,4823759.4
10041_18,686123.8801,4823745.955
10042_18,686222.6538,4823744.907
10043_18,686062.7402,4823723.952
10044_18,686047.4392,4823723.708
10045_18,686181.3198,4823729.213
10046_18,686123.8527,4823723.083
10047_18,686027.1852,4823718.868
10048_18,686224.4095,4823710.452
10049_18,686223.9035,4823691.686
1004_12,679152.0264,4822862.789
10050_18,686056.1839,4823682.258
10051_18,686042.8946,4823676.171
10052_18,686026.3378,4823676.616
10053_18,686064.3038,4823661.76
10054_18,686022.9271,4823656.652
10055_18,686225.9213,4823651.065
10056_18,686084.4511,4823621.24
10057_18,686054.8641,4823619.25
10058_18,686038.7402,4823618.735
10059_18,686232.5415,4823579.083
1005_12,679105.6571,4822861.101
10060_18,686184.5263,4823579.994
10061_18,686085.1125,4823572.646
10062_18,686065.1786,4823575.855
10063_18,686045.7079,4823574.764
10064_18,686025.3228,4823574.191
10065_18,686225.8847,4823563.307
10066_18,686185.5078,4823566.449
10067_18,685630.2555,4823555.601
10068_18,686185.1725,4823543.97
10069_18,686085.204,4823546.204
1006_12,679107.7633,4822821.053
10070_18,686130.7625,4823522.351
10071_18,686085.4813,4823526.09
10072_18,686183.6881,4823520.226
10073_18,686229.8197,4823512.493
10074_18,685667.298,4823494.001
10075_18,686129.6713,4823508.043
10076_18,686232.0508,4823497.619
10077_18,686181.4874,4823486.027
10078_18,686130.1224,4823488.883
10079_18,686086.1671,4823486.518
1007_12,679172.445,4823201.155
10080_18,686230.9535,4823478.106
10081_18,685697.6134,4823467.554
10082_18,686130.8204,4823469.797
10083_18,686232.7884,4823460.311
10084_18,686188.5619,4823451.055
10085_18,686131.4666,4823451.92
10086_18,686132.573,4823420.218
10087_18,686233.2853,4823408.255
10088_18,686132.9144,4823405.057
10089_18,686133.5911,4823389.235
1008_12,678929.0221,4822824.427
10090_18,686041.0018,4823375.65
10091_18,686188.7539,4823382.904
10092_18,686134.4994,4823373.343
10093_18,686188.4918,4823362.321
10094_18,686238.7016,4823362.659
10095_18,686137.9253,4823355.335
10096_18,686022.6711,4823335.221
10097_18,686089.9101,4823330.174
10098_18,686241.2192,4823340.369
10099_18,686190.8844,4823347.169
1009_12,678844.2875,4822881.337
100_7,685891.1923,4825617.766
10100_18,686188.6045,4823332.725
10101_18,686066.0015,4823317.921
10102_18,686240.317,4823320.868
10103_18,686090.8306,4823302.117
10104_18,686056.4887,4823298.545
10105_18,686045.1075,4823283.533
10106_18,686092.318,4823278.33
10107_18,686193.3503,4823269.518
10108_18,686137.2548,4823267.184
10109_18,686091.4829,4823258.783
1010_12,679641.2588,4823572.362
10110_18,686030.7605,4823249.475
10111_18,686195.1974,4823249.792
10112_18,686138.3399,4823248.996
10113_18,686240.2957,4823250.115
10114_18,685902.1194,4823231.854
10115_18,685982.9281,4823230.577
10116_18,685883.9228,4823219.793
10117_18,686195.4778,4823229.519
10118_18,686139.3335,4823228.693
10119_18,686053.3676,4823213.088
1011_12,679852.7021,4823573.021
10120_18,685997.2233,4823206.541
10121_18,685932.6269,4823191.508
10122_18,686003.8466,4823182.736
10123_18,686231.9563,4823168.251
10124_18,686213.5403,4823167.267
10125_18,686192.0244,4823165.691
10126_18,686250.9606,4823166.697
10127_18,686091.6505,4823163.725
10128_18,686058.0767,4823162.36
10129_18,686140.5375,4823142.539
1012_12,678981.1857,4823551.017
10130_18,686095.555,4823141.136
10131_18,685971.806,4823126.369
10132_18,685959.6597,4823107.203
10133_18,686253.143,4823104.341
10134_18,686175.8669,4823103.064
10135_18,686272.3424,4823104.795
10136_18,686014.2281,4823107.124
10137_18,686144.6157,4823100.196
10138_18,686158.795,4823100.732
10139_18,686094.6772,4823100.76
1013_12,678907.8994,4823556.918
10140_18,686272.3576,4823059.218
10141_18,686252.3231,4823059.764
10142_18,686143.6769,4823054.469
10143_18,686027.1425,4823049.992
10144_18,686098.4811,4823034.063
10145_18,686273.9426,4823018.235
10146_18,686256.0843,4823018.402
10147_18,686160.4897,4823013.431
10148_18,686142.2596,4823015.571
10149_18,686096.1067,4823015.873
1014_12,678821.5433,4823551.416
10150_18,686233.0262,4822971.32
10151_18,686157.46,4822968.019
10152_18,686101.0567,4822961.49
10153_18,686080.2266,4822967.284
10154_18,686247.4646,4822933.762
10155_18,686210.8154,4822932.665
10156_18,686192.7437,4822931.175
10157_18,686139.3609,4822933.528
10158_18,686120.3749,4822933.854
10159_18,686234.538,4822887.878
1015_12,678767.4625,4823550.386
10160_18,686161.4986,4822885.604
10161_18,686225.3452,4822827.475
10162_18,686223.3,4823779.828
10163_18,686179.6983,4823784.199
10164_18,685651.872,4823762.009
10165_18,686182.3226,4823772.732
10166_18,685623.3792,4823766.52
10167_18,685620.3038,4823748.723
10168_4,681070.7249,4825179.414
10169_4,681062.3886,4825181.798
1016_12,679052.2469,4823556.644
10170_4,681053.653,4825181.798
10171_4,681037.7089,4825179.469
10172_11,681267.6292,4824668.008
10173_11,681270.8723,4824626.68
10174_11,681270.0859,4824588.604
10175_11,681074.1814,4824698.113
10176_11,680773.6327,4824692.562
10177_11,680730.5735,4824631.657
10178_11,681013.6297,4824634.089
10179_11,681235.9116,4824606.767
1017_12,679545.4356,4823523.372
10180_11,681210.8082,4824634.538
10181_11,681139.43,4824563.885
10182_11,681159.1202,4824561.65
10183_11,681120.0782,4824559.861
10184_11,681267.3792,4824564.994
10185_11,681272.5426,4824542.314
10186_11,681014.6721,4824542.14
10187_11,680944.6228,4824539.787
10188_11,680796.5995,4824535.166
10189_11,680976.3008,4824476.343
1018_12,679643.5814,4823528.291
10190_11,680812.9612,4824439.971
10191_11,680761.2517,4824440.602
10192_11,680581.1786,4824432.415
10193_11,680902.4811,4824430.8
10194_11,680578.6457,4824359.677
10195_11,680814.1346,4824363.167
10196_11,681352.3272,4824375.088
10197_11,680702.4222,4824364.268
10198_11,681261.6155,4824372.013
10199_11,681125.6957,4824367.816
1019_12,678645.7496,4823543.114
101_7,685960.5466,4825609.418
10200_11,681119.4778,4824227.418
10201_11,681032.8016,4824241.095
10202_11,681029.2111,4824194.969
10203_11,680591.3132,4824260.38
10204_11,680954.4618,4824156.525
10205_11,680911.616,4824152.739
10206_11,681121.0506,4824140.913
10207_11,681059.109,4824130.096
10208_11,681042.6315,4824129.654
10209_11,681024.5781,4824129.19
1020_12,678661.3035,4823502.606
10210_11,680740.4186,4824116.184
10211_11,680918.3399,4824102.167
10212_11,681620.4298,4824097.64
10213_11,680151.8181,4822999.297
10214_18,686379.9157,4823786.64
10215_18,686361.2802,4823786.314
10216_18,686343.9492,4823784.674
10217_18,686479.2929,4823782.723
10218_18,686424.0234,4823754.456
10219_18,686380.6106,4823748.839
1021_12,678848.9754,4823483.595
10220_18,686472.1514,4823731.145
10221_18,686462.3734,4823732.005
