id,x,y
1,679909.3904012402,4831236.176461053
10,683278.3441308144,4823798.837328041
11,680897.8513698283,4823647.9610262895
12,679322.0322181903,4823614.432959233
13,679406.7464676201,4820339.810996656
14,680930.749515625,4822011.981007662
15,683343.7543416347,4822054.314425663
16,684910.0908076407,4824065.1517806705
17,684910.0908076409,4823451.317219668
18,686285.9268926464,4824107.485198671
19,684973.5909346413,4822160.147970662
2,684732.055713237,4830618.74355952
20,684952.4242256412,4820572.644795658
21,683386.0877596351,4820466.811250656
22,683364.9210506348,4821271.14619266
23,680951.9162246246,4821165.312647659
24,680973.0829336253,4820403.311123656
3,679686.0096544777,4826823.210793456
4,680827.0275615142,4825897.167274702
5,683228.0520302313,4825927.869586106
6,684854.1632824523,4827336.048402464
7,686279.1061323378,4825978.1616866905
8,684837.3992489246,4825760.229250826
9,683261.5800972863,4824519.690769748
